customer_id,name,email,region,signup_date
1.0,Allison Hill,donaldgarcia@example.net,North,2025-11-19
2.0,Javier Johnson,jesseguzman@example.net,West,2023-10-22
3.0,Kimberly Robinson,lisa02@example.net,East,2024-06-23
4.0,Daniel Gallagher,daviscolin@example.com,South,2025-01-08
5.0,Monica Herrera,smiller@example.net,South,2025-01-24
6.0,Laura Bush,stanleykendra@example.org,West,2025-10-10
7.0,Jamie Chavez,francisco53@example.net,North,2024-01-05
8.0,Maria Lynch,amandasanchez@example.com,East,2024-05-07
9.0,Margaret Hawkins DDS,perezantonio@example.com,North,2024-05-31
10.0,Thomas Bradley,jason76@example.net,North,2024-08-02
11.0,David Hoffman,julie69@example.com,East,2024-04-18
12.0,Brenda Snyder PhD,hernandezernest@example.net,West,2024-06-23
13.0,James Ferrell,tasha01@example.net,East,2025-11-11
14.0,Patricia Peterson,ryan70@example.net,West,2025-11-02
,Jonathan White,harrellkenneth@example.net,East,2024-09-24
16.0,James Martin,georgetracy@example.org,West,2025-12-30
17.0,Sandra Parker,allenashley@example.org,East,2023-06-20
18.0,Mr. Philip Cannon,donnaarroyo@example.org,North,2024-01-03
19.0,Jenny Lewis,jenniferross@example.net,West,2025-02-27
20.0,Joseph Martinez,calebsmith@example.net,South,2023-11-25
21.0,Benjamin Welch,carlosjohnson@example.com,East,2023-06-04
22.0,Michael Lewis,jenniferkhan@example.net,South,2024-08-17
23.0,Rhonda Lee,hopkinsmichael@example.com,North,2024-08-11
24.0,Megan Joyce,brownjessica@example.org,West,2023-12-16
25.0,Jerry Henderson,steven17@example.net,West,2023-07-04
26.0,Kimberly Smith,housemelinda@example.org,East,2024-06-06
27.0,Dr. Steven Martin,gallowayjoseph@example.com,South,2024-01-25
28.0,Monica Logan,smoore@example.org,West,2026-02-11
29.0,Kimberly Adkins,williamsthomas@example.net,East,2023-09-07
30.0,Angela Lopez,leonardjoe@example.org,South,2026-01-13
31.0,Lauren Williams,barnesbrandy@example.net,South,2024-02-28
32.0,Michael Edwards,randy47@example.com,North,2025-12-30
